period,evidence_type,snapshot_member_count,status,qa_note
2012-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2012-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2013-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2013-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2013-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,BLOCKED,missing or non-200 official checkpoint
2013-04,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-05,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-06,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-07,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-08,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-09,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-10,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-11,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2013-12,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2014-01,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2014-02,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2014-03,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2014-04,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2014-05,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
