year,months_expected,months_with_200_members,status,qa_note
2012,12,0,BLOCKED,year contains missing or non-200 checkpoints
2013,12,9,BLOCKED,year contains missing or non-200 checkpoints
2014,12,12,PASS,year has complete 200-member monthly checkpoints
2015,12,12,PASS,year has complete 200-member monthly checkpoints
2016,12,3,BLOCKED,year contains missing or non-200 checkpoints
2017,12,0,BLOCKED,year contains missing or non-200 checkpoints
2018,12,0,BLOCKED,year contains missing or non-200 checkpoints
2019,12,0,BLOCKED,year contains missing or non-200 checkpoints
2020,12,7,BLOCKED,year contains missing or non-200 checkpoints
2021,12,2,BLOCKED,year contains missing or non-200 checkpoints
2022,12,1,BLOCKED,year contains missing or non-200 checkpoints
2023,12,0,BLOCKED,year contains missing or non-200 checkpoints
2024,12,0,BLOCKED,year contains missing or non-200 checkpoints
2025,12,0,BLOCKED,year contains missing or non-200 checkpoints
2026,8,0,BLOCKED,year contains missing or non-200 checkpoints
