snapshot_date,observed_member_count,expected_member_count,discrepancy,status,note
2013-04-18,200,200,0,PASS,
2013-05-31,200,200,0,PASS,
2013-06-28,200,200,0,PASS,
2013-07-31,200,200,0,PASS,
2013-08-30,200,200,0,PASS,
2013-09-30,200,200,0,PASS,
2013-10-31,200,200,0,PASS,
2013-11-29,200,200,0,PASS,
2013-12-31,200,200,0,PASS,
2014-01-31,200,200,0,PASS,
2014-02-28,200,200,0,PASS,
2014-03-31,200,200,0,PASS,
2014-04-30,200,200,0,PASS,
2014-05-30,200,200,0,PASS,
2014-06-30,200,200,0,PASS,
2014-07-31,200,200,0,PASS,
2014-08-28,200,200,0,PASS,
2014-09-30,200,200,0,PASS,
2014-10-31,200,200,0,PASS,
2014-11-28,200,200,0,PASS,
2014-12-31,200,200,0,PASS,
2015-01-30,200,200,0,PASS,
2015-02-28,200,200,0,PASS,
2015-03-31,200,200,0,PASS,
2015-04-30,200,200,0,PASS,
2015-05-29,200,200,0,PASS,
2015-06-30,200,200,0,PASS,
2015-07-31,200,200,0,PASS,
2015-08-31,200,200,0,PASS,
2015-09-30,200,200,0,PASS,
2015-10-30,200,200,0,PASS,
2015-11-30,200,200,0,PASS,
2015-12-31,200,200,0,PASS,
2016-01-29,200,200,0,PASS,
2016-02-29,200,200,0,PASS,
2016-03-31,200,200,0,PASS,
2016-04-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-05-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-06-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-07-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-08-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-09-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-10-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-11-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2016-12-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-01-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-02-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-03-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-04-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-05-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-06-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-07-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-08-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-09-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-10-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-11-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2017-12-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-01-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-02-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-03-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-04-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-05-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-06-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-07-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-08-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-09-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-10-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-11-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2018-12-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-01-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-02-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-03-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-04-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-05-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-06-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-07-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-08-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-09-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-10-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-11-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2019-12-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-01-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-02-28,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-03-31,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-04-30,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-05-29,201,200,1,BLOCKED,source checkpoint count differs from required 200
2020-06-30,200,200,0,PASS,
2020-07-31,200,200,0,PASS,
2020-08-31,200,200,0,PASS,
2020-09-30,200,200,0,PASS,
2020-10-30,200,200,0,PASS,
2020-11-27,200,200,0,PASS,
2020-12-31,200,200,0,PASS,
2021-01-29,200,200,0,PASS,
2021-02-26,200,200,0,PASS,
2021-03-31,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-04-30,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-05-31,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-06-30,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-07-30,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-08-31,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-09-30,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-10-29,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-11-30,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2021-12-31,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2022-01-31,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2022-02-28,199,200,-1,BLOCKED,source checkpoint count differs from required 200
2022-03-31,200,200,0,PASS,
