symbol,company_name,first_observed,last_observed,observation_count,instrument_id,isin,resolution_status,resolution_method,confidence,root_cause,source_url,source_sha256,source_tier,review_status,notes
1201210518,Acrysil Limited,2021-01-14,,0,NSE-ISIN:INE482D01024,INE482D01024,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://nsearchives.nseindia.com/content/equities/symbolchange.csv,647cb988b3957e948b2847d740490ab340db5ecbc4b6195d0ed6ffe8180f0280,A1,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
20MICRONS,20 Microns Limited,2008-10-06,,0,NSE-ISIN:INE144J01019,INE144J01019,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,http://nseindia.com/content/equities/EQUITY_L.csv,c1b9cb0b8404070bee7a01a4824972d5913bb348cf082aff8344de1513a32067,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
20MICRONS,20 Microns Limited,2008-10-06,,0,NSE-ISIN:INE144J01027,INE144J01027,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://web.archive.org/web/20210516062344id_/https://archives.nseindia.com/content/equities/EQUITY_L.csv,d3fcd3263c62cb497dfc9327b73d121ef22cc550395d88ada1d5b5760ac42620,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
21STCENMGM,21st Century Management Services Limited,1995-05-03,,0,NSE-ISIN:INE253B01015,INE253B01015,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://web.archive.org/web/20210516062344id_/https://archives.nseindia.com/content/equities/EQUITY_L.csv,d3fcd3263c62cb497dfc9327b73d121ef22cc550395d88ada1d5b5760ac42620,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
360ONE,360 ONE WAM LIMITED,2019-09-19,,0,NSE-ISIN:INE466L01038,INE466L01038,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://archives.nseindia.com/content/equities/EQUITY_L.csv,9002e14e0ed653c70f49710e4c77e83dc8b62d450ab2052a58783d8ce575d105,A1,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
3BBLACKBIO,3B Blackbio Dx Limited,2026-04-20,,0,NSE-ISIN:INE994E01018,INE994E01018,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://archives.nseindia.com/content/equities/EQUITY_L.csv,9002e14e0ed653c70f49710e4c77e83dc8b62d450ab2052a58783d8ce575d105,A1,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
3IINFOLTD,3i Infotech Limited,2021-10-22,,0,NSE-ISIN:INE748C01038,INE748C01038,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://archives.nseindia.com/content/equities/EQUITY_L.csv,9002e14e0ed653c70f49710e4c77e83dc8b62d450ab2052a58783d8ce575d105,A1,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
3IINFOTECH,3i Infotech Limited,2005-04-22,,0,NSE-ISIN:INE748C01020,INE748C01020,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://web.archive.org/web/20210516062344id_/https://archives.nseindia.com/content/equities/EQUITY_L.csv,d3fcd3263c62cb497dfc9327b73d121ef22cc550395d88ada1d5b5760ac42620,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
3MINDIA,3M India Limited,2004-08-13,,0,NSE-ISIN:INE470A01017,INE470A01017,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://web.archive.org/web/20210516062344id_/https://archives.nseindia.com/content/equities/EQUITY_L.csv,d3fcd3263c62cb497dfc9327b73d121ef22cc550395d88ada1d5b5760ac42620,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
3PLAND,3P Land Holdings Limited,1995-07-19,,0,NSE-ISIN:INE105C01023,INE105C01023,ACCEPTED_CURRENT_MASTER,EXACT_CURRENT_SYMBOL,CERTIFIED,Current official NSE security master exact match,https://web.archive.org/web/20210516062344id_/https://archives.nseindia.com/content/equities/EQUITY_L.csv,d3fcd3263c62cb497dfc9327b73d121ef22cc550395d88ada1d5b5760ac42620,A2,ACCEPTED,Current listing evidence is not by itself historical anchor evidence.
