checkpoint_date,official_count,replay_count,set_match,missing_count,unexpected_count,identity_mismatch_count,status
2013-04-18,200,200,PASS,0,0,0,PASS
2013-05-31,200,200,PASS,0,0,0,PASS
2013-06-28,200,200,PASS,0,0,0,PASS
2013-07-31,200,200,PASS,0,0,0,PASS
2013-08-30,200,200,PASS,0,0,0,PASS
2013-09-30,200,200,BLOCKED,12,12,0,BLOCKED
2013-10-31,200,200,BLOCKED,14,14,0,BLOCKED
2013-11-29,200,200,BLOCKED,15,15,0,BLOCKED
2013-12-31,200,200,BLOCKED,15,15,0,BLOCKED
2014-01-31,200,200,BLOCKED,15,15,0,BLOCKED
2014-02-28,200,200,BLOCKED,15,15,0,BLOCKED
2014-03-31,200,200,BLOCKED,28,28,0,BLOCKED
2014-04-30,200,200,BLOCKED,28,28,0,BLOCKED
2014-05-30,200,200,BLOCKED,28,28,0,BLOCKED
2014-06-30,200,200,BLOCKED,28,28,0,BLOCKED
2014-07-31,200,200,BLOCKED,28,28,0,BLOCKED
2014-08-28,200,200,BLOCKED,28,28,0,BLOCKED
2014-09-30,200,207,BLOCKED,19,26,0,BLOCKED
2014-10-31,200,207,BLOCKED,19,26,0,BLOCKED
2014-11-28,200,207,BLOCKED,19,26,0,BLOCKED
2014-12-31,200,207,BLOCKED,19,26,0,BLOCKED
2015-01-30,200,207,BLOCKED,19,26,0,BLOCKED
2015-02-28,200,208,BLOCKED,18,26,0,BLOCKED
2015-03-31,200,211,BLOCKED,15,26,0,BLOCKED
2015-04-30,200,211,BLOCKED,15,26,0,BLOCKED
2015-05-29,200,210,BLOCKED,15,25,0,BLOCKED
2015-06-30,200,210,BLOCKED,15,25,0,BLOCKED
2015-07-31,200,210,BLOCKED,15,25,0,BLOCKED
2015-08-31,200,210,BLOCKED,15,25,0,BLOCKED
2015-09-30,200,209,BLOCKED,15,24,0,BLOCKED
2015-10-30,200,209,BLOCKED,15,24,0,BLOCKED
2015-11-30,200,209,BLOCKED,15,24,0,BLOCKED
2015-12-31,200,209,BLOCKED,15,24,0,BLOCKED
2016-01-29,200,209,BLOCKED,15,24,0,BLOCKED
2016-02-29,200,209,BLOCKED,15,24,0,BLOCKED
2016-03-31,200,209,BLOCKED,16,25,0,BLOCKED
2020-06-30,200,214,BLOCKED,13,27,0,BLOCKED
2020-07-31,200,214,BLOCKED,13,27,0,BLOCKED
2020-08-31,200,215,BLOCKED,13,28,0,BLOCKED
2020-09-30,200,215,BLOCKED,19,34,0,BLOCKED
2020-10-30,200,215,BLOCKED,20,35,0,BLOCKED
2020-11-27,200,215,BLOCKED,20,35,0,BLOCKED
2020-12-31,200,215,BLOCKED,20,35,0,BLOCKED
2021-01-29,200,215,BLOCKED,21,36,0,BLOCKED
2021-02-26,200,215,BLOCKED,21,36,0,BLOCKED
2021-03-31,200,214,BLOCKED,22,36,0,BLOCKED
2021-04-30,200,214,BLOCKED,22,36,0,BLOCKED
2021-05-31,200,214,BLOCKED,22,36,0,BLOCKED
2021-06-30,200,214,BLOCKED,22,36,0,BLOCKED
2021-07-30,200,214,BLOCKED,22,36,0,BLOCKED
2021-08-31,200,214,BLOCKED,22,36,0,BLOCKED
2021-09-30,200,214,BLOCKED,27,41,0,BLOCKED
2021-10-29,200,214,BLOCKED,27,41,0,BLOCKED
2021-11-30,200,214,BLOCKED,27,41,0,BLOCKED
2021-12-31,200,214,BLOCKED,27,41,0,BLOCKED
2022-01-31,200,214,BLOCKED,27,41,0,BLOCKED
2022-02-28,200,214,BLOCKED,27,41,0,BLOCKED
2022-03-31,200,216,BLOCKED,24,40,0,BLOCKED
