checkpoint_date,official_count,replay_count,set_match,missing_count,unexpected_count,identity_mismatch_count,status
2013-04-18,200,200,PASS,0,0,0,PASS
2013-05-31,200,200,PASS,0,0,0,PASS
2013-06-28,200,200,PASS,0,0,0,PASS
2013-07-31,200,200,PASS,0,0,0,PASS
2013-08-30,200,200,PASS,0,0,0,PASS
2013-09-30,200,200,BLOCKED,1,1,0,BLOCKED
2013-10-31,200,200,BLOCKED,3,3,0,BLOCKED
2013-11-29,200,200,BLOCKED,3,3,0,BLOCKED
2013-12-31,200,200,BLOCKED,3,3,0,BLOCKED
2014-01-31,200,200,BLOCKED,3,3,0,BLOCKED
2014-02-28,200,200,BLOCKED,3,3,0,BLOCKED
2014-03-31,200,200,BLOCKED,3,3,0,BLOCKED
2014-04-30,200,200,BLOCKED,3,3,0,BLOCKED
2014-05-30,200,200,BLOCKED,4,4,0,BLOCKED
2014-06-30,200,200,BLOCKED,4,4,0,BLOCKED
2014-07-31,200,200,BLOCKED,4,4,0,BLOCKED
2014-08-28,200,200,BLOCKED,4,4,0,BLOCKED
2014-09-30,200,201,BLOCKED,3,4,0,BLOCKED
2014-10-31,200,201,BLOCKED,3,4,0,BLOCKED
2014-11-28,200,201,BLOCKED,3,4,0,BLOCKED
2014-12-31,200,201,BLOCKED,3,4,0,BLOCKED
2015-01-30,200,201,BLOCKED,3,4,0,BLOCKED
2015-02-28,200,201,BLOCKED,3,4,0,BLOCKED
2015-03-31,200,202,BLOCKED,2,4,0,BLOCKED
2015-04-30,200,202,BLOCKED,2,4,0,BLOCKED
2015-05-29,200,202,BLOCKED,2,4,0,BLOCKED
2015-06-30,200,202,BLOCKED,2,4,0,BLOCKED
2015-07-31,200,202,BLOCKED,2,4,0,BLOCKED
2015-08-31,200,202,BLOCKED,2,4,0,BLOCKED
2015-09-30,200,202,BLOCKED,2,4,0,BLOCKED
2015-10-30,200,202,BLOCKED,2,4,0,BLOCKED
2015-11-30,200,202,BLOCKED,2,4,0,BLOCKED
2015-12-31,200,202,BLOCKED,2,4,0,BLOCKED
2016-01-29,200,202,BLOCKED,2,4,0,BLOCKED
2016-02-29,200,202,BLOCKED,2,4,0,BLOCKED
2016-03-31,200,202,BLOCKED,3,5,0,BLOCKED
2020-06-30,200,203,BLOCKED,5,8,0,BLOCKED
2020-07-31,200,203,BLOCKED,5,8,0,BLOCKED
2020-08-31,200,204,BLOCKED,5,9,0,BLOCKED
2020-09-30,200,204,BLOCKED,5,9,0,BLOCKED
2020-10-30,200,204,BLOCKED,6,10,0,BLOCKED
2020-11-27,200,204,BLOCKED,6,10,0,BLOCKED
2020-12-31,200,204,BLOCKED,7,11,0,BLOCKED
2021-01-29,200,204,BLOCKED,8,12,0,BLOCKED
2021-02-26,200,204,BLOCKED,8,12,0,BLOCKED
2021-03-31,200,204,BLOCKED,8,12,0,BLOCKED
2021-04-30,200,204,BLOCKED,8,12,0,BLOCKED
2021-05-31,200,204,BLOCKED,8,12,0,BLOCKED
2021-06-30,200,204,BLOCKED,8,12,0,BLOCKED
2021-07-30,200,204,BLOCKED,8,12,0,BLOCKED
2021-08-31,200,204,BLOCKED,8,12,0,BLOCKED
2021-09-30,200,204,BLOCKED,14,18,0,BLOCKED
2021-10-29,200,204,BLOCKED,14,18,0,BLOCKED
2021-11-30,200,204,BLOCKED,14,18,0,BLOCKED
2021-12-31,200,204,BLOCKED,14,18,0,BLOCKED
2022-01-31,200,204,BLOCKED,14,18,0,BLOCKED
2022-02-28,200,204,BLOCKED,14,18,0,BLOCKED
2022-03-31,200,206,BLOCKED,12,18,0,BLOCKED
