checkpoint_date,row_number,symbol,raw_text,source_member,source_page,suspect_row,suspect_reason
2016-04-29,1,ABB,ABB ABB India Ltd. ELECTRICAL EQUIPMENT 1297.30 0.186873,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,2,ACC,ACC ACC Ltd. CEMENT AND CEMENT PRODUCTS 1443.15 0.3613579,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,3,ADANIENT,ADANIENT Adani Enterprises Ltd. TRADING 86.70 0.062384,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,4,ADANIPORTS,ADANIPORTS Adani Ports and Special Economic Zone Ltd. SHIPPING 238.20 0.5821705,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,5,ADANIPOWER,ADANIPOWER Adani Power Ltd. POWER 32.05 0.082917,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,6,AIAENG,AIAENG AIA Engineering Ltd. ELECTRICAL EQUIPMENT 990.90 0.093552,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,7,AJANTPHARM,AJANTPHARM Ajanta Pharmaceuticals Ltd. PHARMACEUTICALS 1514.50 0.093465,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,8,ALBK,ALBK Allahabad Bank BANKS 58.25 0.031294,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,9,AMARAJABAT,AMARAJABAT Amara Raja Batteries Ltd. AUTO ANCILLARIES 955.85 0.217837,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,10,AMBUJACEM,AMBUJACEM Ambuja Cements Ltd. CEMENT AND CEMENT PRODUCTS 221.00 0.4617148,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,11,APLLTD,APLLTD Alembic Pharmaceuticals Ltd. PHARMACEUTICALS 602.50 0.082953,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,12,APOLLOHOSP,APOLLOHOSP Apollo Hospitals Enterprises Ltd. MISCELLANEOUS 1312.15 0.2710040,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,13,APOLLOTYRE,APOLLOTYRE Apollo Tyres Ltd. TYRES 160.15 0.124565,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,14,ARVIND,ARVIND Arvind Ltd. TEXTILE PRODUCTS 277.35 0.114011,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,15,ASHOKLEY,ASHOKLEY Ashok Leyland Ltd. AUTOMOBILES - 4 WHEELERS 106.80 0.4015197,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,16,ASIANPAINT,ASIANPAINT Asian Paints Ltd. PAINTS 866.25 1.0439053,nifty200_Apr2016.pdf,1,FALSE,
2016-04-29,17,AUROPHARMA,AUROPHARMA Aurobindo Pharma Ltd. PHARMACEUTICALS 759.95 0.5420444,nifty200_Apr2016.pdf,1,FALSE,
