blocker_id,blocker_type,date,year,symbol,company,instrument_id,isin,expected_value,observed_value,source_tier,source_url,source_sha256,severity,root_cause,resolution_status,resolution_source,notes
COUNT_NOT_200:2012-01-02:1,COUNT_NOT_200,2012-01-02,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-02:0
COUNT_NOT_200:2012-01-03:2,COUNT_NOT_200,2012-01-03,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-03:0
COUNT_NOT_200:2012-01-04:3,COUNT_NOT_200,2012-01-04,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-04:0
COUNT_NOT_200:2012-01-05:4,COUNT_NOT_200,2012-01-05,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-05:0
COUNT_NOT_200:2012-01-06:5,COUNT_NOT_200,2012-01-06,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-06:0
COUNT_NOT_200:2012-01-09:6,COUNT_NOT_200,2012-01-09,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-09:0
COUNT_NOT_200:2012-01-10:7,COUNT_NOT_200,2012-01-10,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-10:0
COUNT_NOT_200:2012-01-11:8,COUNT_NOT_200,2012-01-11,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-11:0
COUNT_NOT_200:2012-01-12:9,COUNT_NOT_200,2012-01-12,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-12:0
COUNT_NOT_200:2012-01-13:10,COUNT_NOT_200,2012-01-13,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-13:0
COUNT_NOT_200:2012-01-16:11,COUNT_NOT_200,2012-01-16,2012,,,,,200,0,,,,CRITICAL,Replay intervals do not establish the historical expected security count on this NSE session.,UNRESOLVED,,member_count:2012-01-16:0
