date,member_count,required_member_count,status
2012-01-02,2,200,BLOCKED
2012-01-03,2,200,BLOCKED
2012-01-04,2,200,BLOCKED
2012-01-05,2,200,BLOCKED
2012-01-06,2,200,BLOCKED
2012-01-09,2,200,BLOCKED
2012-01-10,2,200,BLOCKED
2012-01-11,2,200,BLOCKED
2012-01-12,2,200,BLOCKED
2012-01-13,2,200,BLOCKED
2012-01-16,2,200,BLOCKED
2012-01-17,2,200,BLOCKED
2012-01-18,2,200,BLOCKED
2012-01-19,2,200,BLOCKED
2012-01-20,2,200,BLOCKED
2012-01-23,2,200,BLOCKED
2012-01-24,2,200,BLOCKED
2012-01-25,2,200,BLOCKED
2012-01-27,2,200,BLOCKED
2012-01-30,2,200,BLOCKED
2012-01-31,2,200,BLOCKED
2012-02-01,2,200,BLOCKED
2012-02-02,2,200,BLOCKED
2012-02-03,2,200,BLOCKED
2012-02-06,2,200,BLOCKED
2012-02-07,2,200,BLOCKED
2012-02-08,2,200,BLOCKED
2012-02-09,2,200,BLOCKED
2012-02-10,2,200,BLOCKED
2012-02-13,2,200,BLOCKED
2012-02-14,2,200,BLOCKED
2012-02-15,2,200,BLOCKED
2012-02-16,2,200,BLOCKED
2012-02-17,2,200,BLOCKED
2012-02-21,2,200,BLOCKED
2012-02-22,2,200,BLOCKED
2012-02-23,2,200,BLOCKED
2012-02-24,2,200,BLOCKED
2012-02-27,2,200,BLOCKED
2012-02-28,2,200,BLOCKED
2012-02-29,2,200,BLOCKED
2012-03-01,2,200,BLOCKED
2012-03-02,2,200,BLOCKED
2012-03-05,2,200,BLOCKED
2012-03-06,2,200,BLOCKED
2012-03-07,2,200,BLOCKED
2012-03-09,2,200,BLOCKED
2012-03-12,2,200,BLOCKED
2012-03-13,2,200,BLOCKED
2012-03-14,2,200,BLOCKED
2012-03-15,2,200,BLOCKED
2012-03-16,2,200,BLOCKED
2012-03-19,2,200,BLOCKED
2012-03-20,2,200,BLOCKED
2012-03-21,2,200,BLOCKED
2012-03-22,2,200,BLOCKED
2012-03-23,2,200,BLOCKED
2012-03-26,2,200,BLOCKED
2012-03-27,2,200,BLOCKED
2012-03-28,2,200,BLOCKED
2012-03-29,2,200,BLOCKED
2012-03-30,2,200,BLOCKED
2012-04-02,2,200,BLOCKED
2012-04-03,2,200,BLOCKED
2012-04-04,2,200,BLOCKED
2012-04-09,2,200,BLOCKED
2012-04-10,2,200,BLOCKED
2012-04-11,2,200,BLOCKED
2012-04-12,2,200,BLOCKED
2012-04-13,2,200,BLOCKED
2012-04-16,2,200,BLOCKED
2012-04-17,2,200,BLOCKED
2012-04-18,2,200,BLOCKED
2012-04-19,2,200,BLOCKED
2012-04-20,2,200,BLOCKED
2012-04-23,2,200,BLOCKED
2012-04-24,2,200,BLOCKED
2012-04-25,2,200,BLOCKED
2012-04-26,2,200,BLOCKED
2012-04-27,13,200,BLOCKED
2012-04-30,13,200,BLOCKED
2012-05-02,13,200,BLOCKED
2012-05-03,13,200,BLOCKED
2012-05-04,13,200,BLOCKED
2012-05-07,13,200,BLOCKED
2012-05-08,13,200,BLOCKED
2012-05-09,13,200,BLOCKED
2012-05-10,13,200,BLOCKED
2012-05-11,13,200,BLOCKED
2012-05-14,13,200,BLOCKED
2012-05-15,13,200,BLOCKED
2012-05-16,13,200,BLOCKED
2012-05-17,13,200,BLOCKED
2012-05-18,13,200,BLOCKED
2012-05-21,14,200,BLOCKED
2012-05-22,14,200,BLOCKED
2012-05-23,14,200,BLOCKED
2012-05-24,14,200,BLOCKED
2012-05-25,14,200,BLOCKED
2012-05-28,14,200,BLOCKED
2012-05-29,14,200,BLOCKED
2012-05-30,14,200,BLOCKED
2012-05-31,14,200,BLOCKED
2012-06-01,14,200,BLOCKED
2012-06-04,14,200,BLOCKED
2012-06-05,14,200,BLOCKED
2012-06-06,14,200,BLOCKED
2012-06-07,14,200,BLOCKED
2012-06-08,14,200,BLOCKED
2012-06-11,14,200,BLOCKED
2012-06-12,14,200,BLOCKED
2012-06-13,14,200,BLOCKED
2012-06-14,14,200,BLOCKED
2012-06-15,14,200,BLOCKED
2012-06-18,14,200,BLOCKED
2012-06-19,14,200,BLOCKED
2012-06-20,14,200,BLOCKED
2012-06-21,14,200,BLOCKED
2012-06-22,14,200,BLOCKED
2012-06-25,14,200,BLOCKED
2012-06-26,14,200,BLOCKED
2012-06-27,14,200,BLOCKED
2012-06-28,14,200,BLOCKED
2012-06-29,14,200,BLOCKED
2012-07-02,14,200,BLOCKED
2012-07-03,14,200,BLOCKED
2012-07-04,14,200,BLOCKED
2012-07-05,14,200,BLOCKED
