original_observation_hash,resolved_observation_hash,symbol,isin,effective_date,old_instrument_id,new_instrument_id,source_url,source_sha256,membership_or_date_assertion_changed
5ebe7e3c3541948c517c1267da37913ad043607056e6f17b1b717863caf116a9,75049016c3e374ca2a6774196c29d3c89413aaf8d7739530e45a068e7ae7232d,KARURVYSYA,INE036D01028,2018-09-28,NSE-ISIN:INE036D01028,NSE-ISIN:INE036D01010,https://archives.nseindia.com/content/indices/IndexInclExcl.xls,8869bb7c4df67403131a494a8cc65509e80828f9438bc150b506cdbf55378046,False
a06323da78b144090ffd46f8e2a64a4d0ee7bd889f749e331d99d26a470565f7,4da10d49ce45f2820d02af065b9142a2b2aa121d9f9d37b63f0f1af6f0e92c98,NBCC,INE095N01023,2020-06-26,NSE-ISIN:INE095N01023,NSE-ISIN:INE095N01015,https://archives.nseindia.com/content/indices/IndexInclExcl.xls,8869bb7c4df67403131a494a8cc65509e80828f9438bc150b506cdbf55378046,False
a5731ef5957205b3efb677303c170c0b6fc9b1b7be807b2265a8651d6ddd35e0,084b502430d4111f76bd001efec6eb323cec511e4b364058f52078698955ba08,IGL,INE203G01027,2026-03-30,NSE-ISIN:INE203G01027,NSE-ISIN:INE203G01019,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,False
47c8f13da3ea54c11f0d0c5381ed8967b8265da9448a1a91f2af4a1e4f5e5a91,6fe8a1488838372038d29e1b36a09b96c4da9656ef96e131fac5e19d6d4a6eed,BATAINDIA,INE176A01028,2024-03-28,NSE-ISIN:INE176A01028,NSE-ISIN:INE176A01010,https://www.niftyindices.com/Press_Release/ind_prs28022024.pdf,5c70d043edde682a31fc5fa043a3b829a380fc9896de904bcb76d64b8319f698,False
17672a5a8a3262b1e91b27676c2e3c2b94ea4ab7f4e1f03be47dc2ba562b7445,bfd9850460680ee5caa21e7386e67965f7842e95f967870012250d6553d5f19d,NATCOPHARM,INE987B01026,2022-03-31,NSE-ISIN:INE987B01026,NSE-ISIN:INE987B01018,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,3091cf1c10b57bbae3b81645f5d91916a1af2bb7284902060f4640f7fb9fcd56,False
19f88e8215d990c787a9fb3b4237d78987fcb676789f9594d1b5afa8d1855b14,710f04585552a02c3a350f103b46f42f01b9ce47281c990e4f18cd1fca1293b0,NBCC,INE095N01031,2020-06-26,NSE-ISIN:INE095N01031,NSE-ISIN:INE095N01015,https://www.niftyindices.com/Press_Release/ind_prs10062020.pdf,ea83ae30ff9e8d80892e143ebd8f16fedd04c974e77d673539bb663a9f9de49e,False
58e16d0a747c706fb5889fdabb94361c85da2387f275cdfc3c8119367c67d172,6178c52fe0592deacd84136d47f624c84ce8ca106fe0c9ba0059ef41ceff0554,NBCC,INE095N01031,2020-03-27,NSE-ISIN:INE095N01031,NSE-ISIN:INE095N01015,https://www.niftyindices.com/Press_Release/ind_prs18022020.pdf,1943215214a0b967333ae4ec9c6aeaec9c5012fb03558c769ad895b7d1081f9e,False
e393198f50c2d42ca62c8aaa8872fbfff1935bee1d3b94445297439dbb044b17,025c5bc47d152786344fd97b45dbade06cab8be35996e2eb016f8eb65e04c822,KARURVYSYA,INE036D01028,2018-09-28,NSE-ISIN:INE036D01028,NSE-ISIN:INE036D01010,https://www.niftyindices.com/Press_Release/ind_prs28082018.pdf,5fadad6119356497ef78ce7d062e18e1104eebad707c5850fade491fe47398be,False
6d0174a9cbe4473ee53f99e770b04dcd8fe7e77423e27a8701e495d3f000ed26,7086d6b940caf15a94d5edabe503c9e3695e4a7d8fcbffd436c4e72a78b2576e,J&KBANK,INE168A01041,2016-04-01,NSE-ISIN:INE168A01041,NSE-ISIN:INE168A01017,https://www.niftyindices.com/Press_Release/ind_prs22022016_2.pdf,db2e4802e43b68fcbfbbf2cb03cb59c6d5f9ebf086ab6687d5a15daa45c2525f,False
cc362000880923f33139bb0bedb8a404a231852af14ca298bfb41496e910b822,34059c9a6ad3578d43f237b9c6666cf2de694bc17ee647bb1c8fecb8147aba1a,NBCC,INE095N01031,2020-06-26,NSE-ISIN:INE095N01031,NSE-ISIN:INE095N01015,https://raw.githubusercontent.com/deshpanda/nse-screener-data/main/reconstitution/events.parquet,2abc0e22e14305c83ed38d50f003c3b20a71f13555f0c8918d092c462598cb53,False
