instrument_id,symbol,action,announcement_date,publication_timestamp,effective_date,known_at,known_at_basis,source,review_status
NSE-ISIN:INE324A01024,JINDALSAW,DROP,2011-11-17,2011-11-18 09:15:00+05:30,2011-11-22,2011-11-18 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf,ACCEPTED
NSE-ISIN:INE437A01024,APOLLOHOSP,ADD,2011-11-17,2011-11-18 09:15:00+05:30,2011-11-22,2011-11-18 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs17112011.pdf,ACCEPTED
NSE-ISIN:INE069I01010,IBREALEST,DROP,2011-12-01,2011-12-02 09:15:00+05:30,2011-12-07,2011-12-02 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs01122011.pdf,ACCEPTED
NSE-ISIN:INE891D01026,REDINGTON,ADD,2011-12-01,2011-12-02 09:15:00+05:30,2011-12-07,2011-12-02 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs01122011.pdf,ACCEPTED
NSE-ISIN:INE200A01026,AREVAT&D,DROP,2011-12-12,2011-12-13 09:15:00+05:30,2011-12-14,2011-12-13 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs12122011.pdf,ACCEPTED
NSE-ISIN:INE007A01025,CRISIL,ADD,2012-03-14,2012-03-15 09:15:00+05:30,2012-04-27,2012-03-15 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs14032012.pdf,ACCEPTED
NSE-ISIN:INE026A01017,GSFC,ADD,2012-03-14,2012-03-15 09:15:00+05:30,2012-04-27,2012-03-15 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs14032012.pdf,ACCEPTED
NSE-ISIN:INE036D01010,KARURVYSYA,ADD,2012-03-14,2012-03-15 09:15:00+05:30,2012-04-27,2012-03-15 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs14032012.pdf,ACCEPTED
NSE-ISIN:INE043A01012,GTL,DROP,2012-03-14,2012-03-15 09:15:00+05:30,2012-04-27,2012-03-15 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs14032012.pdf,ACCEPTED
NSE-ISIN:INE069I01010,IBREALEST,ADD,2012-03-14,2012-03-15 09:15:00+05:30,2012-04-27,2012-03-15 09:15:00+05:30,DATE_ONLY_CONSERVATIVE_NEXT_SESSION,https://www.niftyindices.com/Press_Release/ind_prs14032012.pdf,ACCEPTED
