checkpoint_date,difference_type,symbol,company_name,instrument_id,isin,source_url,source_sha256,entry_event_hash,exit_event_hash,resolution_method,resolution_status
2013-04-18,MISSING_FROM_RECONSTRUCTION,MCDOWELL-N,United Spirits Ltd.,NSE-ISIN:INE854D01016,INE854D01016,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SNAPSHOT_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,VOLTAS,Voltas Ltd.,NSE-ISIN:INE226A01021,INE226A01021,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,WELCORP,Welspun Corp Ltd.,NSE-ISIN:INE191B01025,INE191B01025,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,YESBANK,Yes Bank Ltd.,NSE-ISIN:INE528G01019,INE528G01019,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SNAPSHOT_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,ZEEL,Zee Entertainment Enterprises Ltd.,NSE-ISIN:INE256A01028,INE256A01028,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,MAX,Max India Ltd.,NSE-ISIN:INE180A01020,INE180A01020,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,MOTHERSUMI,Motherson Sumi Systems Ltd.,NSE-ISIN:INE775A01035,INE775A01035,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,MPHASIS,MphasiS Ltd.,NSE-ISIN:INE356A01018,INE356A01018,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,NSE-ISIN:INE742F01042,INE742F01042,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,NHPC,NHPC Ltd.,NSE-ISIN:INE848E01016,INE848E01016,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,NTPC,NTPC Ltd.,NSE-ISIN:INE733E01010,INE733E01010,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,ONGC,Oil & Natural Gas Corporation Ltd.,NSE-ISIN:INE213A01029,INE213A01029,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,OIL,Oil India Ltd.,NSE-ISIN:INE274J01014,INE274J01014,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,OPTOCIRCUI,Opto Circuits (I) Ltd.,NSE-ISIN:INE808B01016,INE808B01016,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,OFSS,Oracle Financial Services Software Ltd.,NSE-ISIN:INE881D01027,INE881D01027,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,ORIENTBANK,Oriental Bank of Commerce,NSE-ISIN:INE141A01014,INE141A01014,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PTC,PTC India Ltd.,NSE-ISIN:INE877F01012,INE877F01012,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PETRONET,Petronet LNG Ltd.,NSE-ISIN:INE347G01014,INE347G01014,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PEL,Piramal Enterprises Ltd.,NSE-ISIN:INE140A01024,INE140A01024,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PFC,Power Finance Corporation Ltd.,NSE-ISIN:INE134E01011,INE134E01011,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,POWERGRID,Power Grid Corporation of India Ltd.,NSE-ISIN:INE752E01010,INE752E01010,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PUNJLLOYD,Punj Lloyd Ltd.,NSE-ISIN:INE701B01021,INE701B01021,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,PNB,Punjab National Bank,NSE-ISIN:INE160A01014,INE160A01014,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SNAPSHOT_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RANBAXY,Ranbaxy Laboratories Ltd.,NSE-ISIN:INE015A01028,INE015A01028,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RELCAPITAL,Reliance Capital Ltd.,NSE-ISIN:INE013A01015,INE013A01015,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RCOM,Reliance Communications Ltd.,NSE-ISIN:INE330H01018,INE330H01018,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RELIANCE,Reliance Industries Ltd.,NSE-ISIN:INE002A01018,INE002A01018,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RELINFRA,Reliance Infrastructure Ltd.,NSE-ISIN:INE036A01016,INE036A01016,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RPOWER,Reliance Power Ltd.,NSE-ISIN:INE614G01033,INE614G01033,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
2013-04-18,MISSING_FROM_RECONSTRUCTION,RECLTD,Rural Electrification Corporation Ltd.,NSE-ISIN:INE020B01018,INE020B01018,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,,,HISTORICAL_SYMBOL_DATE,UNRESOLVED
