period,evidence_type,snapshot_member_count,expected_member_count,status,qa_note
2012-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2012-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2013-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2013-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2013-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2022-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2023-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2023-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2023-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,201,BLOCKED,missing or unexpected-count official checkpoint
2024-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2024-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2024-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2024-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-09,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-10,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-11,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2025-12,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-01,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-02,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-03,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-04,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-05,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-06,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-07,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
2026-08,OFFICIAL_MONTHLY_WEIGHTAGE,0,200,BLOCKED,missing or unexpected-count official checkpoint
