checkpoint_date,source_file,source_url,source_sha256,raw_rows_extracted,unique_symbols,unique_isins,duplicate_symbols,duplicate_company_names,suspect_rows,root_cause,fix_applied,post_fix_count,status
2016-04-29,nifty200_Apr2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2016.zip,85ecfe81fd09d784f824484632c36a83ae91cc549f1fa32a51140a4b0032cbeb,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-05-31,nifty200_May2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2016.zip,16620ce06f3c1a8626cdebd5132f47aee14a95a02e19a91f8af87396f937dd57,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-06-30,nifty200_Jun2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2016.zip,b0f2dc3ba02242814dc89c218959c15b2cedbd8d6c71da1c58dc349bef2f081c,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-07-29,nifty200_Jul2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2016.zip,cb0f3c78c9052e199c5733510e7028bb6f54ca2d006dcf6e4a4eefe1d4995043,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-08-31,nifty200_Aug2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2016.zip,cb278d22b5cb92d6b6a40acf92d71a2bdd2a0e086bfa22ecd74c43e1e5d5334c,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-09-30,nifty200_Sep2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2016.zip,bd879a4c90b5d90627166c3bb7d003a7820e4b9e6cc444695becb0886cfc0ea4,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-10-30,nifty200_Oct2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2016.zip,0bc2d0625aae3b09298be89a950f4ff666a382ab4ee0adcbe2782e4ac32a3fc6,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-11-30,nifty200_Nov2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2016.zip,7da21fa45e791684d560304b79a4c7c50b0569b21dc99df76b3f78e1fe6eebfe,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2016-12-30,nifty200_Dec2016.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2016.zip,6ab11b44e137b11a1c8aaddc3e8145407bacb4f615a95ca37083d9559c572e37,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-01-31,nifty200_Jan2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2017.zip,1c522f49e40ca08f134f206ad9b9b103e5c448839be17392950a78348b3fec5a,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-02-28,nifty200_Feb2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2017.zip,6e957a8608770bf6612725a696664ea87a24584f15c336d0cec73f7e30a88305,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-03-31,nifty200_Mar2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2017.zip,66bdfcfd18ca314ee8c6f83d5b7fe510dcee0187d6186e190959246517dd7eae,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-04-28,nifty200_Apr2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2017.zip,8d0f098b666e0554677af2d944447d5222de90c45ec7dab61a1ab48bdb5c53ad,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-05-31,nifty200_May2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2017.zip,0bc2df7470b2d2f94de9a91bed643b23ee1171451feab2179423f7192d2e826d,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-06-30,nifty200_Jun2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2017.zip,907fca09784c59d663516fc4b36db89100744c9aab056d222d33adf8a2ef1d6b,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-07-31,NIFTY_200_Jul2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2017.zip,92e6642ce5d06d8125e3a5b63e75def5d033c5f748c1caa04e003ca6c6037df3,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-08-31,NIFTY_200_Aug2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2017.zip,8a87b8341569a4b8482fdce76169b5a14c1672b801347657adada8bff3e886f7,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
2017-09-29,NIFTY_200_Sep2017.pdf,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2017.zip,230073c2272376dbba6f6a70ee44d4da3e40f78e0270da578b1fa53f0f271c5f,201,201,201,,,ZEEL,Official checkpoint contains 201 unique constituent rows; no parser-created symbol or duplicate was found. Final-row disclaimer text is attached to ZEEL.,NONE; retained fail-closed for manual count/methodology review,201,MANUAL_REVIEW_REQUIRED_SOURCE_COUNT
