canonical_symbol,provider_symbol,sector,daily_from,daily_to,daily_bars,minute_from,minute_to,minute_bars
360ONE,360ONE-EQ,Financial Services,2020-01-02,2026-08-17,1645,,,
ABB,ABB-EQ,Capital Goods,2020-01-02,2026-08-17,1644,,,
ABCAPITAL,ABCAPITAL-EQ,Financial Services,2020-01-02,2026-08-17,1644,,,
ADANIENSOL,ADANIENSOL-EQ,Power,2020-01-02,2026-08-17,1644,,,
ADANIENT,ADANIENT-EQ,Metals & Mining,2020-01-02,2026-08-17,1644,,,
ADANIGREEN,ADANIGREEN-EQ,Power,2020-01-02,2026-08-17,1644,,,
ADANIPORTS,ADANIPORTS-EQ,Services,2020-01-02,2026-08-17,1644,,,
ADANIPOWER,ADANIPOWER-EQ,Power,2020-01-02,2026-08-17,1644,,,
ALKEM,ALKEM-EQ,Healthcare,2020-01-02,2026-08-17,1644,,,
AMBUJACEM,AMBUJACEM-EQ,Construction Materials,2020-01-02,2026-08-17,1644,,,
APLAPOLLO,APLAPOLLO-EQ,Capital Goods,2020-01-02,2026-08-17,1645,,,
APOLLOHOSP,APOLLOHOSP-EQ,Healthcare,2020-01-02,2026-08-17,1644,,,
ASHOKLEY,ASHOKLEY-EQ,Capital Goods,2020-01-02,2026-08-17,1644,,,
ASIANPAINT,ASIANPAINT-EQ,Consumer Durables,2020-01-02,2026-08-17,1645,,,
ASTRAL,ASTRAL-EQ,Capital Goods,2020-01-02,2026-08-17,1645,,,
ATGL,ATGL-EQ,Oil Gas & Consumable Fuels,2020-01-02,2026-08-17,1643,,,
AUBANK,AUBANK-EQ,Financial Services,2020-01-02,2026-08-17,1645,,,
AUROPHARMA,AUROPHARMA-EQ,Healthcare,2020-01-02,2026-08-17,1644,,,
AXISBANK,AXISBANK-EQ,Financial Services,2020-01-02,2026-08-17,1644,,,
BAJAJ-AUTO,BAJAJ-AUTO-EQ,Automobile and Auto Components,2020-01-02,2026-08-17,1644,,,
BAJAJFINSV,BAJAJFINSV-EQ,Financial Services,2020-01-02,2026-08-17,1645,,,
BAJAJHLDNG,BAJAJHLDNG-EQ,Financial Services,2020-01-02,2026-08-17,1644,,,
BAJFINANCE,BAJFINANCE-EQ,Financial Services,2020-01-02,2026-08-17,1644,,,
BANKBARODA,BANKBARODA-EQ,Financial Services,2020-01-02,2026-08-17,1643,,,
BANKINDIA,BANKINDIA-EQ,Financial Services,2020-01-02,2026-08-17,1643,,,
BDL,BDL-EQ,Capital Goods,2020-01-02,2026-08-17,1645,,,
BEL,BEL-EQ,Capital Goods,2020-01-02,2026-08-17,1645,,,
BHARATFORG,BHARATFORG-EQ,Automobile and Auto Components,2020-01-02,2026-08-17,1643,,,
