case_id,event_id,effective_date,action,raw_company,raw_symbol,existing_instrument_id,existing_isin,final_status,resolved_symbol,resolved_isin,resolved_instrument_id,valid_from,valid_until,source_url,source_document,source_sha256,source_tier,resolution_type,notes
identity-87aaa2d4cf743403,87aaa2d4cf74340360db0a874557fcb7e5d069e48939ead9e27d2161ca3bd802,2026-03-30,,Bajaj Housing Finance Ltd.,BAJAJHFL,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-2b9ed3cb12495724,2b9ed3cb1249572452bda23042cce0a665fc43d3e568b2686ebcc470ed7c9171,2026-03-30,,Bharti Hexacom Ltd.,BHARTIHEXA,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-b9f088cbb97d6e00,b9f088cbb97d6e00185cef0d2140f7117606bb19f20bb30c06fca02d80b51b8b,2026-03-30,,ITC Hotels Ltd.,ITCHOTELS,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-c7e3cfdca39c1d56,c7e3cfdca39c1d5626c5c51d10ff03cd6577ae547c5512df7f5a0ae8129296d2,2026-03-30,,Life Insurance Corporation of India,LICI,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-c915971f7d3343ea,c915971f7d3343ea89e45eb5c0ed0da48561904e00a85de6bc0be5e4860f70a2,2026-03-30,,NTPC Green Energy Ltd.,NTPCGREEN,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-4df60f0dcba945bb,4df60f0dcba945bbff570bc0b38977d1bc5f8b24b42e1b1423c0fb6f275c6da3,2026-03-30,,Sona BLW Precision Forgings Ltd.,SONACOMS,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-375ca12ed43791d3,375ca12ed43791d3004beaf0b1c83a3e4dfa4647f96ac27893f18fd36441a0a2,2026-03-30,,Tata Technologies Ltd.,TATATECH,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-43bd749cabd76dcd,43bd749cabd76dcdee625a6da47c62a67761443851dd3a8f0788f9683928d1df,2026-03-30,,Billionbrains Garage Ventures Ltd.,GROWW,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-e600aa7d444b0f25,e600aa7d444b0f25550722eaada1eb7d8b28b8ac05d9e8f8509de3cc632c1ac4,2026-03-30,,GE Vernova T&D India Ltd.,GVT&D,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
identity-6e82a2bdf48ad15d,6e82a2bdf48ad15d6677ef4cb6632a8637f349257ec5e2248b3fc79a87e2f65b,2026-03-30,,ICICI Prudential Asset Management Company Ltd.,ICICIAMC,,,UNRESOLVED,,,,,,https://www.niftyindices.com/Press_Release/ind_prs23022026.pdf,ind_prs23022026.pdf,cb5830aff1e8715997d9204509315f393ed961838ebc14e986fcb800c62e5a0b,A1,MANUAL_REVIEW,An authoritative historical security-master or corporate-action document linking the dated symbol/company to the exact ISIN.
